,Akuapem Twi
0,Nea onni ho adwempa no de adwumaden na ɛba.
1,Na biribiara nni hɛ a metumi ayɔ
2,Kwaku hui se  John ne Abena kurakura wɛn nsa.
3,So wubetumi atena ha akosi nnɛnmienu npaamu aduasa awiaberɔ.
4,Wonni mmre
5,Na ɛtotɛ  nkosua aduonu abien.
6,Minni nkrante.
7,Dɔ n nti na abofra no suɔ
8,Me na mewɔ ha.
9,Ná wonte ase.
10,Kwaku to dwom yiye.
11,Anadwo biara ɛfrɛ no.
12,Kwaku fii ayaresabea hɔ kɔe.
13,So mu denneennen
14,Wubetumi adi nkonim wɔ ɔko no nyinaa mu nanso wubetumi ahwere ɔko no.
15,Kwaku bɔɔ mmɔden sɛ obegyae ɔko a ɛkɔɔ so wɔ Abena ne John ntam no.
16,M'adwene ne sɛ mɛte eyi ase akɔ Franse kasa mu.
17,Na megyae.
18,Obiara ani gyee n'akokoduru no ho.
19,Na nsɔmmisa no ɔyɔ den.
20,ɛnyɛ obi a wuye kwasea
21,Di kan kɔ wɔn a wogye di sɛ wɔbɛboa wo no nkyɛn.
22,Mo baanu kabom ma no yɛ fɛ
23,Ɛrenkyɛ koraa na yɛn nyinaa bɛwu
24,Mesrɛ wo ka kyerɛ me.
25,Minim no ɔhwɛ kwan so.
26,So wobɛka me ho ne me anantew?
27,Mede meda nyinaa sua Franse kasa.
28,Nnipadɔm no betwaa ɔkasafo no ho hyiae.
29,"Mesre wo, meyɛ ɔhɔho wɔ ha."
30,Kwaku nni biribiara wɔ ne bag mu.
31,San kenkan bio.
32,Ná wonyɛɛ biribi a etia mmara.
33,Wɛ nantew
34,So w'ani gye nnwom ho?
35,Gyae nhwɛ bebree
36,M'ani bɛba wo ho so no na wɔama wo so afe a edi kan no akyi.
37,Ɔhyehyɛɛ n'aduan no wɔ baage bi mu.
38,Mefrɛɛ no bae.
39,Mfa nni agorɔ
40,Ɛyɛ anigye bere nyinaa sɛ wubehu wo.
41,"So wobɛkenkan m'asɛm no asiesie mfomso ahorow no, sɛ ebi wɔ hɔ a?"
42,Meyɛ Kwaku adwumam panyin.
43,So wokae nea mekyerɛkyerɛɛ wo no?
44,Henanom na wo ne wɔn redidi anwummere yi?
45,Mfonini bɛn na ɛte sɛ nea ɛwɔ Kwaku dan mu no?
46,Wɔnyɛ nye nkwaseafo.
47,Wuntumi nyɛ biribi a anibere wom.
48,Ɛyɛ wɔn adwuma.
49,Ma yɛnhwɛ sɛnea ɛpo a ɛwɔ yɛn mpɔtam hɔ no te.
50,Hena na ɔpenee eyi so?
51,Ɔtraa ase a na obiara nte ne ho asɛm.
52,So wohwɛɛ sini no?
53,Ɛyɛ anigye.
54,M'ani nngye basket bɔɔlo ho koraa
55,So wode sekan atwa wo nsa mu pɛn?
56,Mfomso biara nni atemmu no mu.
57,Nsoromma mu ahwɛfo hwɛ atifi
58,Woyɛ wo fam de na mɛyɛ nea aka no.
59,Dɛn na wobɛka akyerɛ yɛn sɛ yendi?
60,Ná obiara nnim nea ɔbɛka.
61,Obiara nni hɔ.
62,Nnwomkuo bɛn na w'ani gye ho paa?
63,Na ne mpena no nso ɛ?
64,Ná Kwaku nni atoro mma me.
65,Onim nea ɛsɛ sɛ ɔde ne sika yɛ.
66,Ɛsɛ sɛ Kwaku gye n'ahome kakra.
67,"Bere biara a obehyia me wɔ abɔnten so no, ɔne me kasa."
68,So wowɔ eyi ho asɛm bi ka?
69,"Ná ɛte sɛ nea ɛwɔ hɔ ankasa, nanso misusuwii sɛ na ɛyɛ dae bɔne bi kɛkɛ."
70,Ɛyɛ bere a ɛsɛ sɛ yɛkasa.
71,Ɛno ne wo haw.
72,Yɛwaree.
73,Mitumi gye m'ani.
74,Ɔmpɛ sɛ ɔka ho asɛm.
75,Ɔte sɛ ne maame pɛpɛɛpɛ.
76,Mehwee  tokuro bi mu.
77,Ɔfã bi wɔ afã anan.
78,Bra ha na bɛfew m'ano.
79,Kwaku huu me.
80,Minnim sɛ ebia metumi ne wo akɔ anaa.
81,Yɛsan sɔ yɛn hwɛ Dwoda a edi hɔ no bio.
82,Akwan abien yi mu nea ɛwɔ he na wopaw?
83,Ɛno yɛ towtua ho ka kɛkɛ.
84,Fa w'ani si gaas no so.
85,Mɛhwɛ wo wɔ me dae mu.
86,So wɔwɔ Paris?
87,Wosii gyinae sɛ wɔbɛma nkɔmmɔbɔ no aba awiei.
88,Metɔɔ nsɛmma nhoma maa no.
89,Ɔyarefo no ho tɔɔ no nkakrankakra.
90,Mommma yɛnnsɛe bere kakra a yɛwɔ no.
91,Mebɔɔ mmɔden sɛ menya akam a ɛfata.
92,Ná ɔpɛ sɛ ɔtra atesɛm nkrataa mu.
93,Kwaku de bɔs no kɔɔ sukuu.
94,Nea ɛsɛ sɛ woyɛ ara ne sɛ wobɛyɛ nea wubetumi nyinaa.
95,Kasa bɛn na wɔka wɔ Switzerland?
96,"Kwaku de n'ani kyerɛɛ mfɛnsere no mu, na ohuu Abena ne John a wɔafew wɔn ano."
97,"Sɛ mihu sɛnea mede sika mena pɛ a, mede bi mena wo."
98,M'ani gye ne ho paa.
99,Twene pii na ɛwɔ kurow yi mu.
100,Ɛbɛyɛ sɛ na menom nnubɔne.
101,Ná misusuw sɛ ɛbɛyɛ papa sɛ w'ankasa woka kyerɛɛ Kwaku.
102,Dɛn nti na ontumi mmɔ sanku nnɛ?
103,Nnomaa a wodi kan no nya mmoawa no bi.
104,Minnim baabi a Kwaku wɔ seesei mpo.
105,Yehia sika no.
106,Nnipa bɛyɛ mpensa wuwui.
107,M'awofo baanu nyinaa nte nkwa mu.
108,Dɛn nti na ɛnyɛ Kwaku kasa?
109,"Kwaku betumi akae nnwom no mu nsɛm no, nanso ɔnkae emu nsɛm no nyinaa."
110,Wɔka Spania kasa wɔ Colombia.
111,Yɛrenni kan nka Kwaku ho asɛm.
112,Ná yɛn nyinaa nim ho asɛm.
113,Ɔman soafo panyin no kɔhwee ɔman no mu ma nsu yiri faa hɔ.
114,"Ná Kwaku werɛ ahow, na na wayɛ ankonam."
115,Mepɛ sɛ wo ne Kwaku kasa.
116,Kwaku sii gyinae sɛ ɔbɛtra hɔ akosi 2:30.
117,Aguanfo a wonyaa wɔn ti didii mu no hwehwɛɛ ahofadi.
118,Yɛrefi hɔ seesei.
119,Me kyinii wɔ he nnɛ? Na nɛ betɛ enɔ
120,Minni bere a mede bɛsa.
121,Beae koro pɛ a Kwaku atumi atra ne Boston.
122,Ne babarima no wu no maa Abena koma tui.
123,Ɔde bere tenten akyerɛkyerɛ nkurɔfo.
124,Ná bɔs no afi hɔ nkyɛe.
125,Nnyaw me hɔ.
126,"Twɔn, kwaku."
127,Kwaku ne me wɔ Boston ha.
128,Meyɛ wo nuabea.
129,Obiara bae gye sɛ mo nko.
130,Ɔsraani no de ne ho bɔɔ afɔre de gyee n'adamfo no nkwa.
131,Ɛhe na migye mframa bɔne no?
132,N'ani gye ho sɛ ɔbɛkɔ agodibea hɔ.
133,M'abam mmu koraa.
134,Adwene a ɛte saa no yɛ nnaadaa dodo ma me.
135,"Mfiase no ehu kaa me, nanso nkakrankakra me ho tɔɔ me."
136,M'ani rennye ho saa bere yi.
137,Yare a ɛma nnipa fã dwudwo kyerɛ yare.
138,"Sɛ nkurɔfo bo fuw a, wɔyɛ nneɛma a nyansa nnim."
139,Ɛhaw Kwaku yiye.
140,"Ɛnyɛ sɛ ne yam ye nti na m'ani gye ne ho, na mmom ɔyɛ nokwaredifo ntia."
141,"Bere a obuee pon no ntɛm ara no, ɔhyew biribi a na ɛredɛw."
142,Wamfa krataa biara amma me.
143,Kwaku ntumi ntu ntɛm sɛnea Abena betumi ayɛ no.
144,Minim sɛ ade biako a yebetumi ayɛ ne anigye.
145,Nyansahu yɛ den dodo.
146,Kwaku anyɛ bɔne biara.
147,Mamfa me ho anto wo so.
148,Kwaku dii akɔneaba.
149,Ɛno nyɛ Kwaku sakre.
150,Minnim nipa ko a ɔyɛ.
151,"Mepɛ mmuae tẽẽ, nanso biribiara nni hɔ bio."
152,"Kwaku de, ofii hɔ kɔe."
153,Ɛsɛ sɛ wɔde 2:30 san kɔ Kwaku.
154,So ade atɔ wo so wɔ Abena?
155,Ɔkae sɛ ɔmpɛ eyi.
156,Dɛn nti na na minnim eyi?
157,Mepɛ sɛ mekɔ Paris kosua adwinni.
158,So wunya fii mu?
159,Ɔyɛɛ n'adwuma no yiye.
160,"Nea ɛbɛyɛ na woatumi afata ama fie mmere a wode bɛtra hɔ no, ɛsɛ sɛ wo ne wɔn a wɔde mmoa ma no susuw nsɛm ho."
161,Bere bɛn na woteɛɛm?
162,Aman atitiriw abien mpo na wɔka bom yɛ dodow biara.
163,"Ɛtɔ mmere bi a, nnipa a wonim nyansa mpo adwene nsi wɔn pi."
164,Ná engine no remfi ase.
165,Kwaku ntumi nni ne mma so.
166,Mɛsan abisa bere a keteke no bɛkɔ mu.
167,Biribi asi saa dɔn yi mu.
168,"Seesei de, yɛn nyinaa betumi agye yɛn ahome."
169,So wubetumi ne w'aniwa anantew?
170,Wohwɛ Europa.
171,Kwaku twitwaa ne kɔn mu.
172,Ɛsɛ sɛ metow sare no biako so pɛnkoro dapɛn biara.
173,Ehia sɛ misua Franse kasa.
174,Wɔde Kwaku too afiase asram abien esiane karka bebrebe nti.
175,Ná Kwaku pɛ sɛ ɔde ne nkwa nna a aka nyinaa tra Amerika.
176,Eyi nyɛ nokware.
177,Mma me nkɛda.
178,Ɛsɛ sɛ Kwaku nso yɛ saa ara.
179,Meretie dwom bi.
180,Ɔte ban no ho.
181,Kwaku yii ntama no fii ne tirim.
182,Bere atwam.
183,Yɛsrɛ sɛ fa wo din hyɛ nhyehyɛe no mu.
184,Nnipa binom yɛ mmoa a wɔn ho yɛ nã te sɛ nyɛmmoa.
185,Misusuw sɛ ɛbɛyɛ papa.
186,Ɛkame ayɛ sɛ mewɔ sika pii a mede bɛtɔ nnuan.
187,Nnka ɛpɛn no mbom.
188,Kwaku nom nsã pii.
189,Dɛn na wopɛ sɛ meka?
190,Ɛsɛ sɛ wokyerɛw biribiara a wususuw sɛ ɛho hia.
191,Kwaku wui bere a Abena wui akyi nnɔnhwerew kakraa bi no.
192,Yɛde atomdi ho nkyerɛkyerɛ no bata atom a wɔbɔ no ho.
193,"Esiane sɛ na mabrɛ nti, medaa."
194,So Kwaku Te sɛ Abena?
195,Ɛno ne asetra.
196,Hena na wuhui?
197,Kwaku kaee nsɛm no nyinaa.
198,Minyinii ntɛm koyii keteke a edi kan no.
199,Ná me nanabarima no gye di sɛ ɔsram a ebesiw no yɛ hu yiye.
200,Kwaku na ɛsɛ sɛ obisa no.
201,Ɛyɛ den ma Kwaku.
202,Kwaku kɔ asɔre Kwasida anɔpa.
203,Mepɛ sɛ mekɔ Japan.
204,Eyi nyɛ nokware.
205,Ɔnyɛ den sɛ kan no.
206,"Ɛmfa ho sɛ ɔyɛ ɔdefo no, ɔka sɛ odi hia."
207,So wobɛn wo maame anaa wo papa paa?
208,Kwaku yɛɛ adwuma pa.
209,"Ɛyɛ a menom nsa kakra, na misusuw sɛ ɛsɛ sɛ migyae asanom seesei."
210,Ɔbarima a wuhuu no wɔ m'adwumam Dwoda no fi Belgium.
211,Ɛnsɛ sɛ wufi dan yi mu bere a merema me kwan.
212,Yehuu hyɛn foforo wɔ akyirikyiri.
213,"Mesrɛ wo, kyea wu papa mame."
214,So wompɛ sɛ mema ɛtra hɔ?
215,Kwaku ne Abena nyinaa wɔ hɔ.
216,ɔhene no reba.
217,Ná ɔreyɛ asu.
218,Minni sika koraa.
219,Ná Kwaku nnim se John ne Abena ayɛ aware nhyehyɛe.
220,Fa gu hɔ.
221,Yɛhyɛɛ no nkuran sɛ ɔnkɔ.
222,"Nea ɛyɛ nwonwa no, wonyɛ Kwaku."
223,Kwaku nim Abena fɛfɛ no yiye.
224,Kwaku yii sɔks no fii hɔ.
225,Misuaa nneɛma pii dapɛn yi.
226,Ná misusuw sɛ woyɛ onipa pa wɔ akontaabu mu.
227,"Yɛsrɛ wo, ma radio no nkɔ soro."
228,Mepɛ sɛ mihu nea ɛma wuhu saa.
229,Ná ɛyɛ den sɛ ɔbɛma wasesa n'adwene.
230,So obiara ani gye?
231,"Awiei koraa no, odii ɔhaw no ho dwuma."
232,Yɛwɔ biribi a ɛho hia paa a ɛsɛ sɛ yesusuw ho.
233,Behyiam awia 3:00.
234,Nnyaw ogya no.
235,Mituu mmirika kɔɔ ɔforote bi mu.
236,Minni adagyew koraa ma enti memfa me ho nto me so.
237,Ɛboa yɛn.
238,So wonam nantwi nufusu pɛn?
239,Ɛhaw me.
240,So wunim sɛ Kwaku waree dapɛn a etwaam no?
241,Ɔkyerɛkyerɛfo no kaa osuani no anim a ntease biara nnim.
242,Minim sɛ na Kwaku nni anigye.
243,Wɔtaa ka sɛ nkwa yɛ tiaa.
244,Osisii ayaresabea ahorow na ɔboaa nnipa a wɔwɔ Afrika no ma wonyaa nkɔso wɔ wɔn asetra mu.
245,Ɛnsɛ sɛ woma sika ho asɛm haw wo.
246,So wo yafunu yɛ wo yaw?
247,Mintumi nnye nni sɛ Kwaku nni ha.
248,Abeawa yi na onim nyansa sen biara.
249,Eyi yɛ asɛnnennen ma wo.
250,"Onni ha, ɛnte saa?"
251,Aduan bo so atew.
252,Kwasi susuw Abena ho yiye.
253,Ná ɛsɛ sɛ adwumam panyin no ma onya sika.
254,Wɔn a wɔnyɛ saa no tua dɔla 50 aka ho.
255,Kasa bɛn na wɔka wɔ Misraim?
256,Eyi na metumi ayɛ ama wo.
257,Mo baanu nyinaa adi mfomso.
258,Paapa kaa afasu no ho fitaa.
259,Mɛsan aba bio.
260,Kwasi kyerɛkyerɛɛ mu yiye kyerɛɛ Abena.
261,Mfa wo nsa nka nhwiren no.
262,Ontumi nka kar.
263,Wontumi mfa aduru no nni dwuma yiye.
264,Ɔsrɛɛ no sɛ omfi hɔ.
265,Wunim nea ɔyɛe?
266,Onipa a ɔyɛ ɔdefo mpo ntumi ntɔ biribiara.
267,Kyiv yɛ Ukraine ahenkurow.
268,Kwasi wɔ wimhyɛn ankasa.
269,Kwasi wɔ nnamfo baanu a wonnim wɔn ho wɔn ho.
270,Kwasi hia nneɛma a atwa yɛn ho ahyia mu nsakrae.
271,Odi aduan a ɛbɛma ne so atew.
272,Ná onnim nyansa sɛ obedi mfomso a ɛte saa.
273,Yɛnna da ansa na ade asa.
274,Eyinom yɛ me dea.
275,Wɔkyeree me siei.
276,Misusuw sɛ nea woreyɛ no yɛ hu.
277,M'ani gye wo ntadehyɛ ho.
278,"Yɛsrɛ wo, bɔ mmɔden sɛ wubenya lita anum daa."
279,Ne nkyerɛkyerɛmu a ɛne sɛ ebegye bere ansa na wɔatumi adi ɔhaw no ho dwuma no amma obiara annya abotɔyam.
280,Misusuw sɛ meda so ara wɔ bere ma kɔfe kuruwa foforo.
281,"Ɔka kyerɛɛ ne maame sɛ ade kyee no, obesua ade."
282,Ɔkyerɛkyerɛfo a ɔkyerɛ me karka no ka sɛ ɛsɛ sɛ minya abotare kɛse.
283,"Esiane sɛ nnipa a wɔte saa no nni nsu nti, wowuwu."
284,Wɔwoo yɛn saa da no ara.
285,Mogya retu me hwene.
286,Kwasi yɛ ɔdaadaafo.
287,"Esiane sɛ ɔyɛ ohiani nti, ontumi ntɔ."
288,Oduu hɔ bere a dɔn no bɔe no.
289,Sare no yɛ ahabammono bere nyinaa wɔ ban no fã foforo.
290,"Anɔpa yi, ohyiaa no."
291,Me werɛ afi ade yiye.
292,Saa asɛmti koro no ara ho ayɛsɛm na ɛkanyan sini no.
293,Ade foforo a mihia ne kɔfe kuruwa foforo.
294,Ɛwɔ w'anim pɛɛ.
295,"Sɛ wosan ba ha a, mɛba."
296,M'ani begye ho sɛ mesusuw saa.
297,Aba pa fii mu bae.
298,Kwasi yɛ abofra na ɔyɛ den.
299,Kwasi nyɛ ɔwarefo bio.
300,"Ɛnnɛ, Kwasi ayi da no afi hɔ."
301,Mmofra dodow no ara pɛ sɛ wohuruw denneennen.
302,"Sɛ ɛnyɛ wo a, anka mintumi nyɛ eyi."
303,Wɔrehwɛ nea ɛrekɔ so no yiye paa.
304,Nka nkyerɛ me sɛ me ho ntɔ me.
305,Bere bɛn na wotaa sɔre?
306,"So metumi ne wo akɔ? """
307,Asiane biara nnim.
308,Ɛno ne ade a enye koraa a ebetumi asi.
309,Mintumi nka nea ɔreka ne ho asɛm no ho asɛm biara nkyerɛ afoforo.
310,Kwasi susuwii sɛ Abena bɛpɛ sɛ ɔkɔ Boston kɔhwɛ John.
311,Ɔbaa ha.
312,Kwasi ne Abena gyee John toom.
313,Oyii ne nnamfo mae sɛ wɔmma no sika.
314,Ntease nni nea woreka no mu.
315,Dua a ayɛ hyew yiye.
316,"Eduu saa bere yi no, na yɛwɔ sinidan mu."
317,Kenkan asɛm no den.
318,Metee sɛ Kwasi rekɔ Boston.
319,Nsuyiri kɛse bi sɛee ɛhɔnom akwantu nhyehyɛe no.
320,Ɔhyɛɛ ne ti nhwi tuntum.
321,Ɔkɔɔ nsu ase simma abiɛsa.
322,Bere bɛn na wɔkɔe?
323,Dɛn ne Kwasi mpaboa kɛse?
324,Hena ne nnipa baanum no mu hena a ɔsen biara?
325,"Mfiase no, obiara ngye mendi."
326,ɔkraman no nim nyansa.
327,"Kwasi kae sɛ: ""Ɛyɛ den paa."
328,Mennwen mmosa ho.
329,Kwasi yɛ ɔbarima ankasa.
330,Yɛretie asɛm no.
331,Migye di sɛ eyi ne ade ankasa.
332,Ma yɛntwɛn simma 5 bio.
333,Ná ɛyɛ den ma yɛn sɛ yebesi nea ɛsɛ sɛ yɛtɔ ho gyinae.
334,M'ani gye nokwasɛm a ɛyɛ sɛ ɛte sɛ nea wudwen afoforo ho kɛse bere nyinaa no ho.
335,Ebetumi ayɛ yiye.
336,Ná yehyiam Dwoda anadwo biara.
337,Ne maame nuabea no te nka sɛ osua.
338,Nnua a ɛsow aba.
339,Asase no bɛn owia no pɛɛ.
340,Wotaa kasa ntɛmntɛm.
341,Eyi ne adidibea a eye sen biara a minim.
342,Ná ɛyɛ hu paa!
343,Obiara nni ha.
344,Mɛhyira wo.
345,Ná ommu no koraa.
346,Ɛnsɛ sɛ nkurɔfo yɛ mmoa basabasa.
347,Mintumi nyɛ saa a mmoa nka ho.
348,Ɔde ne nsa ato n'akyi.
349,Yɛn dwumadibea no wɔ kurow no mfinimfini.
350,"Democras no nsii gyinae wɔ wɔn a wɔrebɛbɔ afɔre no ho, nanso ɔkwan biara so no, wobedi nkogu ɔkwan biara so."
351,Kwasi rekenkan Bible no.
352,Ne nhoma a aba foforo no ka efĩ ho asɛm.
353,So wubetumi de ngodua no afa me?
354,Ɔyaree bere tenten bɛn?
355,Minni nimdeɛ soronko biara.
356,Kwasi te sɛ nea ne ho yɛ hu.
357,Obiara ntumi nkwati owu.
358,Wunim baabi a Kwasi de ne ho siei?
359,Kwasi kyerɛkyerɛɛ sɛnea ɔhweree ne sika no mu.
360,Kwasi ne Abena kae sɛ wɔrekɔ.
361,Fa si ha.
362,Merehwɛ kwan sɛ mehu Kwasi.
363,Mennom sigaret ne nsa.
364,Wantumi anyi n'ani amfi ne so.
365,Hyɛ wo ho so.
366,Adaka no mu yɛ du. Dɛn na ɛwɔ adaka yi mu?
367,Dɛn na ɛsɛ sɛ meyɛ bere a aboa kɛse bi tow hyɛ me so no?
368,So wohwɛɛ TV anadwo a etwaam no?
369,Mebɔɔ mmɔden sɛ mehu nnipa dodow a wɔte kurow yi mu ankasa.
370,"Eyi nyɛ me kyinii, ɛyɛ onipa foforo de."
371,Meka kyerɛɛ wɔn sɛ wonnyae.
372,Kwasi yɛ abarimaa tenten sen obiara wɔ yɛn adesuakuw no mu.
373,Sukuuni biara wɔ n'ankasa pon.
374,Migye di sɛ wopɛ m'asɛm.
375,Bere aso sɛ wɔkɔ fie.
376,Wɔka Spania kasa wɔ Mexico.
377,ɔkraman no tuu  mmirika dii okra no akyi.
378,Ɔte ofie kɛse bi mu.
379,Bere bɛn na wosɔre Kwasida?
380,Metaa hwɛ saa nsɛm no wɔ saa nsɛm asekyerɛ nhoma no mu.
381,TB kum Kwasi.
382,Saa sini yi ho asɛm haw adwene yiye.
383,Meka kyerɛɛ no sɛ ɔmma ne bo ntɔ ne yam.
384,M'ani begye ho.
385,Ɛha ni!
386,Merenka me din nkyerɛ wo.
387,Ma me kwan ma memmɛn no.
388,"Yɛsrɛ wo, kyerɛw nhoma yi nnum."
389,Ná ɔyɛ abofra a ne ho nni asɛm.
390,Nyɛ obi a ommu ade.
391,Minni biribiara yɛ saa awia yi.
392,Kwasi hyiaa Abena.
393,Mepɛ sɛ me nkutoo me ne Kwasi bɔ.
394,Saa nhaban momono yi dan kɔkɔɔ anaa akokɔsrade wɔ otwabere mu.
395,Ɔyerenom pii nwiinwii wɔ nneɛma bo akɛse ho.
396,Woyɛ ɔberima pa.
397,So worekɔ apontow no ase nnɛ?
398,Kwasi te abrannaa no so.
399,So woatotɔ Buronya ho nneɛma awie?
400,Ma yɛnhwɛ wɔn a wobedi nkonim!
401,W'ani gye amanyɔsɛm ho?
402,Momma yɛnkɔ so nsɔ nhwɛ.
403,Wɔtee ase.
404,Nsɛmfua biara nni hɔ a ebetumi akyerɛ sɛnea wo ho yɛ nwonwa fa.
405,Ɔyɛ ɔkwasea ankasa.
406,"Nea ɛyɛ nwonwa no, ɛhe na worekɔ?"
407,Nea na ɔhwehwɛ ara ne bere a ɔde bɛyɛ mfonini no awie.
408,Mempɛ sɛ meyɛ w'adamfo.
409,Ɔrenni wɔn so nkonim.
